,date,Percent,Percent_Water,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,total_precipitation,mean_CH4,mean_CO2,mean_CO,precip_mm_month,Num_Days,porcentagem
0,1985,95.71958422450606,0.6104794987744429,301.9037167338245,297.69057598473034,295.1854957242311,1298.2481680868243,,,,,,
1,1986,95.59480298627022,0.6538093061971575,301.8551006787353,297.6135543553289,295.0880408234889,1337.0233022108985,,,,,,
2,1987,95.25699137631251,0.6626971829777791,302.61337873073234,298.3938542151951,295.8838471401399,1141.2228902916122,,,,,,
3,1988,95.12527408780494,0.6614938449883678,302.3547829012945,298.32619205411027,295.9814015610577,1401.5066237119913,,,,,,
4,1989,94.99919626938762,0.6583851855125361,301.5884785382465,297.54723258005487,295.1208991623556,1327.843109951206,,,,,,
5,1990,95.0239979922168,0.6690928744782869,302.6120951968414,298.31116380300836,295.63944621618157,1172.0433735416505,,,,,,
6,1991,94.94430712453746,0.6728688952380838,302.5405075699014,298.30157084210595,295.734812327382,1196.7003003245177,,,,,,
7,1992,94.57159911909962,0.6705475382342918,303.1954957292799,298.8842100190206,296.13857484826,1065.6708400543666,,,,,,
8,1993,94.37248144787584,0.6707638517834474,302.34953188118493,298.0774693053228,295.45391633197545,1224.716398844168,,,,,,
9,1994,94.4734789943707,0.6590110760927563,302.3402193701979,298.11898537184095,295.5263055619172,1314.0575345472691,,,,,,
10,1995,94.05371367473472,0.65842213432475,302.957508360821,298.4354747879876,295.6645188467081,1148.4102849837786,,,,,,
11,1996,93.1107757937432,0.648095208477138,302.43948001627933,298.06945829065324,295.33723999434443,1482.5184492643505,,,,,,
12,1997,92.77509358934796,0.6454319537563218,302.32926659961885,298.0017271298763,295.34333628595454,1317.5778064548597,,,,,,
13,1998,92.83395004323928,0.6400429350848212,304.246866131894,299.67143538630734,296.7931126307984,973.5357845887289,,,,,,
14,1999,92.87359272523744,0.6709449405874217,302.4105980493979,297.95011241707584,295.190722367757,1442.645586209366,,,,,,
15,2000,92.7253969390908,0.6430692059144217,302.2295505772857,297.7122181303581,294.9454994481278,1601.3830819073346,,,,,,
16,2001,92.56763245910726,0.6351022641354614,302.2792000933891,297.76239173502347,294.969074143356,1317.2992327252364,,,,320.7770813874778,9.19057734058034,7.658814450483617
17,2002,92.5227549299602,0.64931026498073,303.0515650781823,298.45941339470323,295.57632532066674,1321.7610149363804,,,,295.02921155804495,18.19154919645956,15.159624330382968
18,2003,92.4736532892264,0.644675641289136,303.05779425003936,298.60062283060574,295.81138798611954,1097.8524564812471,1743.8706303030303,,91.06076132842105,277.4745730012065,20.54654976114213,17.122124800951777
19,2004,92.18826453748927,0.6481760715580719,302.69108678936954,298.3431650492433,295.70714013904353,1564.2597631009762,1746.5058505882353,,92.80662024270833,330.2558575797343,15.031517453849348,12.422741697396155
20,2005,92.07134686603962,0.6289543338806809,303.48815233892344,298.97615026673543,296.1740996885435,1392.1575433202283,1742.3237582857143,,91.3846256894737,284.41368917568786,21.838077860833515,18.198398217361262
21,2006,91.77903877714311,0.6195917354025238,302.52888966437945,298.26190452032563,295.6406324257411,1519.9813925267533,1747.2999389855072,,88.80804894315789,332.1060223515473,12.715248950464396,10.596040792053664
