system:index,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,system:time_end,system:time_start,total_precipitation,.geo
19870101,301.26066355752664,297.57138831243515,295.08445981596145,5.36544E11,5.364576E11,0.008986269103328013,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870102,301.1317133400399,297.58945383613843,295.74257408007946,5.366304E11,5.36544E11,0.012086167860954383,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870103,300.84584029213096,297.3380208558925,295.19324528076606,5.367168E11,5.366304E11,0.008960465042604141,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870104,301.2224961315546,297.3282924840531,295.3089474241837,5.368032E11,5.367168E11,0.01176233356928831,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870105,302.50634681196357,297.6322044746872,295.1150299982868,5.368896E11,5.368032E11,0.009917172093784128,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870106,303.5314675145841,298.2722634596147,295.0094738004994,5.36976E11,5.368896E11,0.006925656510640971,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870107,301.5619909134357,297.86285372502783,295.734586795886,5.370624E11,5.36976E11,0.00978287251994835,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870108,300.90444874699034,297.4263098716229,295.7301932449598,5.371488E11,5.370624E11,0.012497220326392394,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870109,301.79652177219043,297.44274217307293,295.1003579097275,5.372352E11,5.371488E11,0.009070390943033345,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870110,302.76937614710636,297.766562440517,295.0531266474202,5.373216E11,5.372352E11,0.009498147220754196,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870111,303.87357699729216,298.6985749177811,295.59796969434166,5.37408E11,5.373216E11,0.0077689099541108295,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870112,304.16444101387526,298.7345025109826,295.9416912879034,5.374944E11,5.37408E11,0.012206095677664477,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870113,303.19784903933464,298.5875039828527,295.82776502725545,5.375808E11,5.374944E11,0.0151058273072653,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870114,302.12244466871334,298.37052722308385,295.9769439097847,5.376672E11,5.375808E11,0.014738101078045244,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870115,302.3054658168502,298.41435757155733,295.9770473862511,5.377536E11,5.376672E11,0.005585406395950674,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870116,301.7576112190019,297.95896509586237,295.95224004719984,5.3784E11,5.377536E11,0.0123020776449437,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870117,302.7406478242879,297.9509507384032,294.8865050504316,5.379264E11,5.3784E11,0.006601104450900699,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870118,301.77220712457165,297.86923363759195,295.54942496543646,5.380128E11,5.379264E11,0.010479012600899234,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870119,298.7788557513279,296.76598160920395,295.1342516470188,5.380992E11,5.380128E11,0.036528863215074966,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870120,299.1613889584796,296.5048971925682,294.7835363050567,5.381856E11,5.380992E11,0.014685569132657667,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870121,300.87168954719505,297.30804159039894,295.3254807415127,5.38272E11,5.381856E11,0.01116785158004434,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870122,300.4060643582722,297.3354443842988,295.21276015263925,5.383584E11,5.38272E11,0.008131767738228246,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870123,302.31507657447247,297.9312589456896,295.1949216100655,5.384448E11,5.383584E11,0.007299110798943454,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870124,301.7000764679886,297.82622179329945,295.3688641889498,5.385312E11,5.384448E11,0.01235280689209623,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870125,301.1780816196871,297.69981086566617,295.7023389196299,5.386176E11,5.385312E11,0.008287187459239094,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870126,302.9337668073605,298.4165321553937,295.73397810058634,5.38704E11,5.386176E11,0.0032066718611599575,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870127,303.40472606218594,298.6021772838509,295.7138669332786,5.387904E11,5.38704E11,0.013805027668157352,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870128,303.8672977409565,298.6738817231277,295.88153237121816,5.388768E11,5.387904E11,0.014458343572224386,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870129,303.52484318761867,298.83157765419253,296.0282624725363,5.389632E11,5.388768E11,0.006687500332771077,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870130,303.6804098576122,299.0285135672547,295.9951732700217,5.390496E11,5.389632E11,0.005133350135186793,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870131,304.7250759071719,299.4536823298953,296.11346233870484,5.39136E11,5.390496E11,0.0038225795775334317,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870201,304.52921577678677,299.60531406797384,296.1550258474607,5.392224E11,5.39136E11,0.0028266727228339417,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870202,304.9459658234207,299.85656185881857,296.58407973849904,5.393088E11,5.392224E11,0.0031496143544874435,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870203,304.9831321821947,300.0723043652256,296.5674942080792,5.393952E11,5.393088E11,0.001209303811881669,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870204,305.00196439574927,299.9936276860092,296.3244663417391,5.394816E11,5.393952E11,0.0014972760563987844,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870205,303.543747810808,298.9918878210045,296.2980270506899,5.39568E11,5.394816E11,0.009114962402214613,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870206,303.98769767411966,298.6415528081754,295.90557889130866,5.396544E11,5.39568E11,0.007332562697800206,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870207,303.2215523992791,298.54985958564083,295.8936983257892,5.397408E11,5.396544E11,0.012750165466111955,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870208,302.8804035473187,298.5619608022712,296.19971993445546,5.398272E11,5.397408E11,0.008474575733984998,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870209,302.35273911575456,298.51279828222465,296.4763119528345,5.399136E11,5.398272E11,0.010567832977887185,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870210,303.12038887752334,298.6420114067805,296.1183894043714,5.4E11,5.399136E11,0.010403859359341296,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870211,300.6887114100276,297.75160625186624,296.13536114501755,5.400864E11,5.4E11,0.015766723927270142,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870212,298.80161139648385,296.835485691392,295.6143296397218,5.401728E11,5.400864E11,0.022603559103212302,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870213,301.1080622476015,297.21722515753305,295.3239007517851,5.402592E11,5.401728E11,0.012763039000748329,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870214,302.8848344763902,297.98252146332976,295.2888383901223,5.403456E11,5.402592E11,0.009540221496924113,"{""type"":""MultiPoint"",""coordinates"":[]}"
19870215,301.9696974971274,297.95191635749507,295.64858117910074,5.40432E11,5.403456E11,0.008875515808040768,"{""type"":""MultiPoint"",""coordinates"":[]}"
