system:index,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,system:time_end,system:time_start,total_precipitation,.geo
20180101,305.2169074688051,299.7687496707877,295.56690126088023,1.5148512E12,1.5147648E12,0.0015760685598719378,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180102,305.0996564917665,300.01922532515914,296.5034230378663,1.5149376E12,1.5148512E12,0.003901812258518406,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180103,304.0962922044678,299.09904271119575,295.81209861048166,1.515024E12,1.5149376E12,0.008816061539881265,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180104,303.99921375298334,298.73987614354206,295.47938164300797,1.5151104E12,1.515024E12,0.008607047762009469,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180105,305.17182518542904,299.1442666951699,295.5673672174417,1.5151968E12,1.5151104E12,0.005042876070122696,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180106,304.2293615263865,298.9544066098951,296.4106198573547,1.5152832E12,1.5151968E12,0.00805265362644153,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180107,302.6014068419012,298.31449212369785,295.9109734720221,1.5153696E12,1.5152832E12,0.016783469914383252,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180108,299.1668426655659,296.8715638846287,295.14894124112004,1.515456E12,1.5153696E12,0.02552143629058914,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180109,301.3568047359906,297.2155614347064,294.7097396453097,1.5155424E12,1.515456E12,0.015392649973309677,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180110,304.69541160454435,298.65359545958944,294.79718078965243,1.5156288E12,1.5155424E12,0.003359491038648508,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180111,303.6606821219545,298.8200745992686,294.83433870216624,1.5157152E12,1.5156288E12,0.015668749499481587,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180112,303.83138594857064,298.2511945353621,294.65264717174097,1.5158016E12,1.5157152E12,0.009938794661140895,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180113,301.7742414566151,297.8215508625595,294.9423885686083,1.515888E12,1.5158016E12,0.011099100874594862,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180114,303.9638922244463,298.60472402178567,295.6004235939827,1.5159744E12,1.515888E12,0.005987069744230544,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180115,303.01139788648453,297.8646164835303,295.17889862319834,1.5160608E12,1.5159744E12,0.008494116194969465,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180116,304.1859412764149,298.7186615574344,295.6980942359548,1.5161472E12,1.5160608E12,0.007801725306974407,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180117,304.4003540766863,299.1259865995545,296.11823340022613,1.5162336E12,1.5161472E12,0.007751477932863062,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180118,301.7685690191047,297.9050600074568,295.4984195273372,1.51632E12,1.5162336E12,0.011162754913687022,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180119,303.4294490381116,298.1181170197036,294.8268646996093,1.5164064E12,1.51632E12,0.007216181256856986,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180120,303.9821630771288,298.83673882087845,295.30623251775427,1.5164928E12,1.5164064E12,0.009989300031636634,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180121,304.0509261202837,299.220674015415,295.47564609010936,1.5165792E12,1.5164928E12,0.004547066818864113,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180122,304.1360576707114,299.3746484573612,295.48135319265685,1.5166656E12,1.5165792E12,0.0070020948059966205,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180123,302.7915031155288,298.58042161248727,295.70948569804415,1.516752E12,1.5166656E12,0.009115661524869931,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180124,301.4374277655138,297.79352840444506,295.45673670643964,1.5168384E12,1.516752E12,0.013033728730183098,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180125,300.3524563709417,297.62523821106765,295.5671049310459,1.5169248E12,1.5168384E12,0.0132847498227207,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180126,302.8584441199157,298.27865638251427,295.225717779593,1.5170112E12,1.5169248E12,0.009733105508959172,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180127,301.86903450939576,298.11437961413714,295.50098741918356,1.5170976E12,1.5170112E12,0.014656202693210102,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180128,302.2526924431519,298.0094548861138,295.53811008679827,1.517184E12,1.5170976E12,0.01267154000985872,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180129,304.07173906180185,298.54921028129314,295.4805248665315,1.5172704E12,1.517184E12,0.0034451356877279885,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180130,304.14441303636505,298.97335309453257,296.2669425145787,1.5173568E12,1.5172704E12,0.008003504233617405,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180131,303.1666019020847,298.78877893980894,295.85376439261773,1.5174432E12,1.5173568E12,0.012680038212186509,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180201,303.85154166577763,299.27450581503996,296.34238869563376,1.5175296E12,1.5174432E12,0.014850273189966408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180202,301.00954524596483,298.3863898568407,296.24515524668544,1.517616E12,1.5175296E12,0.020077860583266174,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180203,299.2706923599714,297.0719485943556,295.80263470844795,1.5177024E12,1.517616E12,0.02586798263262286,"{""type"":""MultiPoint"",""coordinates"":[]}"
