system:index,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,system:time_end,system:time_start,total_precipitation,.geo
20100101,300.2376733411698,297.96825451808763,296.35563328287833,1.2623904E12,1.262304E12,0.024060226642671635,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100102,302.07525887031096,298.041241849418,295.60736923338897,1.2624768E12,1.2623904E12,0.017151185551985342,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100103,302.7141877015672,298.31182950688077,296.02729523629256,1.2625632E12,1.2624768E12,0.015756672982809288,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100104,303.64998207988197,298.75170317300086,295.56375263124704,1.2626496E12,1.2625632E12,0.010024968260498085,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100105,304.65004718172463,299.7332585206999,296.0244672482624,1.262736E12,1.2626496E12,0.003435726390737791,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100106,305.97946631476964,300.32350868087116,295.9740059256662,1.2628224E12,1.262736E12,0.001200857547685526,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100107,304.99498317134896,300.0836233122509,296.30689565291726,1.2629088E12,1.2628224E12,0.007066312667536741,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100108,302.242288184286,298.83625989139193,296.4526800324038,1.2629952E12,1.2629088E12,0.03534555603458581,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109,303.70152391672764,299.03206362211614,295.9156749756054,1.2630816E12,1.2629952E12,0.008028826130717483,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110,304.43599058594464,299.53373779266235,296.3404137076241,1.263168E12,1.2630816E12,0.005539629958212758,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111,303.8781979757228,299.29878945024194,296.1352718003503,1.2632544E12,1.263168E12,0.014436264215989219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100112,301.16349064294457,298.05490474505865,295.8991492883086,1.2633408E12,1.2632544E12,0.029907686920233066,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100113,305.36295661568084,299.0659257186654,295.26452510968585,1.2634272E12,1.2633408E12,0.004836425784012851,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100114,304.9574823069973,299.78288826926337,296.28396440818983,1.2635136E12,1.2634272E12,0.010522032234013063,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100115,304.56814041161044,299.3043326269807,296.3483595027734,1.2636E12,1.2635136E12,0.010877825509752331,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100116,304.53470393635087,299.7098181171386,296.5661812771312,1.2636864E12,1.2636E12,0.005922723200573947,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100117,303.90817013578095,299.2698005814642,296.61672165907066,1.2637728E12,1.2636864E12,0.013559848273570626,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100118,304.63160513285146,299.123850931943,295.7475407940256,1.2638592E12,1.2637728E12,0.008948195806115689,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100119,305.92956855941185,300.13308557080927,295.4019626284454,1.2639456E12,1.2638592E12,0.0030212678317568737,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100120,305.5508723827166,300.31707609438746,296.3754824520208,1.264032E12,1.2639456E12,0.0039655138646781905,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100121,305.55983390316,300.33473718812303,296.61551846063736,1.2641184E12,1.264032E12,0.008792649624561019,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100122,303.8891592473457,299.3774310086942,295.80315536164403,1.2642048E12,1.2641184E12,0.00597373821277017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100123,304.18889594134504,299.27563097526547,296.0683060617013,1.2642912E12,1.2642048E12,0.014074642550873484,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100124,300.6476803421622,297.58902795722673,295.5392852103861,1.2643776E12,1.2642912E12,0.017076793224349282,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100125,302.7378022601462,298.2258165942066,295.21607381083976,1.264464E12,1.2643776E12,0.014058172649182398,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100126,304.4890349490706,299.14816512043325,295.3813462797151,1.2645504E12,1.264464E12,0.0013896684160165076,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100127,301.25516564913835,298.791362550848,296.92365851790305,1.2646368E12,1.2645504E12,0.02656575760251984,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100128,301.1501777136017,298.0563539044759,295.891695984786,1.2647232E12,1.2646368E12,0.02234511551967789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100129,303.35942725900355,299.0534930649653,296.34402758472066,1.2648096E12,1.2647232E12,0.005442002837745206,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100130,300.6837155388836,298.06581573703096,296.1022421756848,1.264896E12,1.2648096E12,0.023315636887662725,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100131,303.7070543058927,299.04631521716857,295.81910755262777,1.2649824E12,1.264896E12,0.0033577244968399974,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100201,303.95136452013446,299.3542894644989,296.8181158057343,1.2650688E12,1.2649824E12,0.012386504735982273,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100202,304.2159809563916,299.6770008393135,296.9346039147399,1.2651552E12,1.2650688E12,0.015402108234130804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100203,305.6041469366195,300.617579088829,297.49217896701526,1.2652416E12,1.2651552E12,0.00426577625790127,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100204,306.0242382996828,300.9982445101787,296.8759929023659,1.265328E12,1.2652416E12,0.0033861400179521946,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100205,306.22208178186486,301.3444015991389,297.72649078415895,1.2654144E12,1.265328E12,0.003042641412632305,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100206,305.615620069982,300.84055692929724,297.3202611592526,1.2655008E12,1.2654144E12,0.005798203465151377,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100207,301.02327808810213,298.3289837986407,296.720254104321,1.2655872E12,1.2655008E12,0.020876948272846373,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100208,303.84811664430674,299.01691132701336,296.3608904822006,1.2656736E12,1.2655872E12,0.009634606853541384,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100209,303.9439522660829,299.40113493064564,296.4542160197848,1.26576E12,1.2656736E12,0.007017360703318409,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100210,300.4465759377668,298.03157506453897,296.0382119095526,1.2658464E12,1.26576E12,0.02207664669325883,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100211,303.6586635040025,298.8880429619002,295.9916406450313,1.2659328E12,1.2658464E12,0.007189688949347255,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100212,300.39675826373787,298.03157186424465,296.2548511564534,1.2660192E12,1.2659328E12,0.018403448840153862,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100213,303.6250467758212,298.80544259431036,296.14545701590464,1.2661056E12,1.2660192E12,0.0089329031229883,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100214,304.45247308967356,299.4167804961926,296.85374390954377,1.266192E12,1.2661056E12,0.012090768223609757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100215,305.06693014090087,299.61803257495563,295.68867100843755,1.2662784E12,1.266192E12,0.001551764306258366,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100216,304.30665404940106,300.03405373330196,297.1861197276833,1.2663648E12,1.2662784E12,0.005634972951905435,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100217,303.8602284693514,299.8498379044121,296.8123596495787,1.2664512E12,1.2663648E12,0.006544508448178494,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100218,305.10653198401997,300.2092081711395,296.2921454547302,1.2665376E12,1.2664512E12,0.0058662289026463945,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100219,305.54130511814856,300.77621247571557,297.2966219361309,1.266624E12,1.2665376E12,0.0022476401047283054,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100220,307.13943105810307,301.35339991956585,296.8368077130805,1.2667104E12,1.266624E12,0.0017205621058909222,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100221,301.7881865733224,299.08305873152904,296.8612996811511,1.2667968E12,1.2667104E12,0.018995365018994775,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100222,302.34014489650497,298.625551502367,296.4022082858944,1.2668832E12,1.2667968E12,0.006284361247216032,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100223,305.37840898513934,300.1167502398075,296.5635485410641,1.2669696E12,1.2668832E12,0.0026824171245044127,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100224,306.488493661458,300.77532362457646,296.58139035620223,1.267056E12,1.2669696E12,0.008282852790955189,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100225,304.85808469557475,300.2014624700564,297.0724720499352,1.2671424E12,1.267056E12,0.011499991107597014,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100226,304.6219354274062,299.8647488850798,296.4210510330425,1.2672288E12,1.2671424E12,0.008826969755627738,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100227,302.75403687540296,298.7646427468594,296.1415006154902,1.2673152E12,1.2672288E12,0.012811678083498245,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100228,304.7776689463257,299.6196051310558,296.2760056486178,1.2674016E12,1.2673152E12,0.006112723988593342,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100301,304.63923620830246,299.6674038674435,296.5363054090318,1.267488E12,1.2674016E12,0.0041591785016533165,"{""type"":""MultiPoint"",""coordinates"":[]}"
