system:index,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,system:time_end,system:time_start,total_precipitation,.geo
19930101,303.16218291034915,298.09784615481857,295.27383098145805,7.259328E11,7.258464E11,0.0080726734470405,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930102,305.03529437024736,299.3625211843497,295.46519978954467,7.260192E11,7.259328E11,0.00639322911281309,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930103,299.47032933844525,297.57395825930564,296.08019208319536,7.261056E11,7.260192E11,0.027724965187719292,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930104,302.34016603936334,297.83298314880744,294.9601727342361,7.26192E11,7.261056E11,0.007143370927513942,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930105,304.0958026334073,298.8938026694982,295.28482998747575,7.262784E11,7.26192E11,0.007055943051776912,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930106,300.8586598438996,297.6217045003238,295.62925195490686,7.263648E11,7.262784E11,0.01549873986111421,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930107,301.82121494218666,297.57591958399695,294.9580924111408,7.264512E11,7.263648E11,0.013723985743316966,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930108,299.94149360256034,297.1343164648821,294.8469889342186,7.265376E11,7.264512E11,0.00851805233223651,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930109,301.22410687862725,297.60998147277826,295.37612976851307,7.26624E11,7.265376E11,0.004445276001352417,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930110,302.88044630491737,297.85756752750217,295.05330286766474,7.267104E11,7.26624E11,0.004552634239345816,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930111,303.05005030668787,298.4364518432428,295.5790206275325,7.267968E11,7.267104E11,0.010378614352101159,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930112,300.8469712951894,297.47054756297797,295.40119411908586,7.268832E11,7.267968E11,0.012040444618126317,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930113,299.0297956005683,296.5718000748518,294.9882208066088,7.269696E11,7.268832E11,0.015687142835689543,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930114,301.886230978042,297.5949277125611,295.05894185087635,7.27056E11,7.269696E11,0.009472088856943329,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930115,298.5857354886478,296.6810453515507,295.0912733548022,7.271424E11,7.27056E11,0.030290902781785967,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930116,302.51162769975576,297.67696162550527,295.07812748439403,7.272288E11,7.271424E11,0.008107079000623532,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930117,303.36218334584083,298.35869335601456,295.29020335476116,7.273152E11,7.272288E11,0.0049687974255416675,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930118,302.5511291391672,298.25787453163446,295.43420472223573,7.274016E11,7.273152E11,0.006142640220971708,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930119,301.6478026080295,297.7404768100481,294.96657185876904,7.27488E11,7.274016E11,0.012298388639250896,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930120,303.1175495991882,298.3612583621544,295.3507108773641,7.275744E11,7.27488E11,0.008638995083312711,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930121,302.457758867182,298.1636298455447,295.5191440364929,7.276608E11,7.275744E11,0.014267415381550574,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930122,303.02056470359787,298.4037205490956,295.0942276422266,7.277472E11,7.276608E11,0.006448406697216725,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930123,303.7612305452711,299.06533345165656,295.9854454865467,7.278336E11,7.277472E11,0.002487347972287211,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930124,305.26771196430093,299.8516136681485,295.9306074171202,7.2792E11,7.278336E11,0.0012802208837076978,"{""type"":""MultiPoint"",""coordinates"":[]}"
19930125,304.7021370519681,299.48254770421255,296.0496870239688,7.280064E11,7.2792E11,0.0029213093252843146,"{""type"":""MultiPoint"",""coordinates"":[]}"
