system:index,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,system:time_end,system:time_start,total_precipitation,.geo
19960101,301.0751813184392,297.4100225543885,295.4958476606302,8.205408E11,8.204544E11,0.008263894430736695,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960102,304.28959372760096,298.8116100197451,294.87101110180373,8.206272E11,8.205408E11,0.002392890182914907,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960103,303.2578797495424,298.55458600373674,295.4838018811919,8.207136E11,8.206272E11,0.013221479760845065,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960104,301.546834685984,297.64184388956795,295.3371879750444,8.208E11,8.207136E11,0.01863339487950523,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960105,300.2031165775459,296.9891485612194,295.3188942671252,8.208864E11,8.208E11,0.025522893036206088,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960106,302.66043588294286,297.35304714238225,294.70461633630305,8.209728E11,8.208864E11,0.011891513296453288,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960107,298.9138243926607,296.7766765864111,294.9614660859128,8.210592E11,8.209728E11,0.022623271733911387,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960108,304.36907941724525,298.1993455867442,294.99744020411566,8.211456E11,8.210592E11,0.006314795166792702,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960109,302.4150891040838,298.0050223007797,295.0224784200853,8.21232E11,8.211456E11,0.014457078508117715,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960110,302.35900718806477,297.95509486957894,295.05083339082046,8.213184E11,8.21232E11,0.015386902640860354,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960111,303.2047094373201,298.20206963407804,294.99349844564296,8.214048E11,8.213184E11,0.00720963179508328,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960112,303.26111012016844,298.5560872708151,295.12982124849566,8.214912E11,8.214048E11,0.006877288560197259,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960113,303.2684398773661,298.6630331326435,295.12693914709354,8.215776E11,8.214912E11,0.007675297256230427,"{""type"":""MultiPoint"",""coordinates"":[]}"
19960114,299.84395734914335,297.5734320319518,295.38009962308723,8.21664E11,8.215776E11,0.017908482626952327,"{""type"":""MultiPoint"",""coordinates"":[]}"
