system:index,maximum_2m_air_temperature,mean_2m_air_temperature,minimum_2m_air_temperature,system:time_end,system:time_start,total_precipitation,.geo
20140101,306.0299999381705,300.3441476799314,295.32156764965083,1.3886208E12,1.3885344E12,1.2196922566367745E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140102,306.73661966552066,301.1370547766523,296.10721093530276,1.3887072E12,1.3886208E12,5.288232663353183E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140103,305.2353935438314,300.5780643874115,296.8159780924513,1.3887936E12,1.3887072E12,0.001583981528517856,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140104,305.53844145754954,300.45116818071733,296.715523018421,1.38888E12,1.3887936E12,0.0027944984916211803,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140105,305.18252835382515,300.1868584013552,296.8637023293201,1.3889664E12,1.38888E12,0.0030359910520356293,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140106,304.51658090597726,299.6843569946882,296.4540285781043,1.3890528E12,1.3889664E12,0.004751360505457924,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140107,302.9169735426395,298.85930871887746,296.16921513030013,1.3891392E12,1.3890528E12,0.008843682661181978,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140108,303.68159673318434,298.7581533041373,295.58671665603464,1.3892256E12,1.3891392E12,0.00857783246708494,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140109,304.3652466974932,298.6869183014442,295.81008964697753,1.389312E12,1.3892256E12,0.012470770384705843,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140110,301.42385210425067,298.01281555905274,296.0036688628119,1.3893984E12,1.389312E12,0.013947011135488227,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140111,303.10579647068124,298.12763844031093,294.9036928942676,1.3894848E12,1.3893984E12,0.011790794327825411,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140112,299.236954313938,297.11071071391433,295.2683344878651,1.3895712E12,1.3894848E12,0.02055351440263754,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140113,300.86480962095237,297.3804897410056,295.1971621034705,1.3896576E12,1.3895712E12,0.010679938614191366,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140114,302.05855895402607,298.3349967707633,295.17404528588526,1.389744E12,1.3896576E12,0.006164559787390719,"{""type"":""MultiPoint"",""coordinates"":[]}"
20140115,304.24896820351444,298.9548930138205,295.0965742716413,1.3898304E12,1.389744E12,0.006567065029715923,"{""type"":""MultiPoint"",""coordinates"":[]}"
